INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 1, 1, 34, 392, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 37571, 7, 223, 376, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 39035, 7, 169, 520, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 41216, 7, 60, 121, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 44031, 8, 198, 6, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 47178, 8, 209, 19, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 47685, 8, 111, 362, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 48718, 8, 167, 85, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 52544, 8, 180, 71, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 57641, 9, 250, 400, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 58452, 9, 107, 560, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 60385, 9, 184, 133, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 66302, 9, 166, 413, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 71313, 9, 274, 492, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 72306, 10, 131, 142, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 79891, 10, 191, 407, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 85271, 10, 137, 194, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 85850, 10, 109, 666, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 89631, 10, 32, 606, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 89920, 11, 32, 176, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 92955, 11, 87, 102, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 93944, 11, 137, 603, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 94023, 11, 191, 684, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 94304, 12, 278, 404, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 95904, 12, 122, 536, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 96661, 13, 5, 697, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 97178, 13, 60, 86, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 99423, 13, 301, 534, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 99784, 13, 60, 468, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 100429, 13, 259, 658, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 101464, 14, 85, 492, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 103385, 14, 76, 149, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 105248, 14, 199, 646, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 116399, 15, 75, 687, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 117063, 15, 173, 651, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 117532, 15, 257, 84, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 117692, 15, 89, 429, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 122715, 15, 180, 384, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 122826, 16, 53, 156, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 122883, 17, 49, 330, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 127387, 17, 63, 245, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 129708, 17, 195, 707, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 133485, 18, 15, 328, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 135466, 18, 302, 513, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 135528, 18, 22, 85, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 136707, 19, 234, 502, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 137464, 19, 10, 658, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 141689, 19, 73, 166, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 143900, 19, 184, 631, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 144165, 20, 44, 432, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 148990, 21, 30, 576, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 149399, 21, 186, 701, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 150228, 21, 249, 122, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 150579, 22, 104, 190, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 151361, 22, 146, 483, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 154386, 22, 262, 144, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 155920, 22, 195, 582, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 156661, 23, 137, 556, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 157637, 23, 243, 446, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 160070, 24, 192, 663, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 160148, 25, 145, 412, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 160929, 25, 115, 376, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 161325, 26, 300, 31, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 167646, 26, 148, 57, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 170887, 26, 118, 13, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 171790, 26, 111, 205, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 172206, 26, 175, 416, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 174811, 27, 50, 83, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 174982, 27, 98, 475, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 175413, 27, 264, 8, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 181852, 27, 280, 300, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 190389, 27, 191, 597, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 191369, 28, 283, 343, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 191910, 29, 119, 604, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 196461, 29, 238, 445, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 197566, 29, 229, 16, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 198497, 29, 126, 415, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 216264, 29, 67, 461, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 216740, 30, 149, 203, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 222021, 30, 24, 222, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 222410, 30, 253, 136, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 224077, 30, 196, 534, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 228830, 30, 176, 686, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 229831, 31, 141, 428, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 231953, 31, 311, 379, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 244806, 31, 312, 586, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 246352, 32, 162, 613, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 246665, 32, 74, 252, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 247191, 32, 84, 661, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 248570, 33, 278, 359, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 249534, 33, 122, 278, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 250075, 33, 136, 306, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 250621, 34, 218, 123, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 252052, 35, 190, 444, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 256715, 35, 146, 372, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 257612, 35, 134, 698, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 257952, 35, 157, 386, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 260233, 36, 7, 597, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 268744, 36, 306, 18, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 268861, 36, 263, 657, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 271202, 36, 196, 25, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 272147, 37, 154, 484, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 273100, 37, 170, 412, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 278141, 37, 64, 150, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 278747, 37, 267, 165, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 281554, 37, 8, 374, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 284261, 38, 56, 25, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 286990, 38, 77, 179, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 287741, 38, 6, 264, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 289632, 38, 84, 326, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 291284, 38, 254, 293, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 292565, 39, 10, 717, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 295533, 39, 133, 149, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 299174, 39, 59, 480, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 300092, 40, 116, 365, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 302205, 41, 57, 25, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 303935, 41, 189, 526, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 305678, 41, 265, 638, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 311754, 41, 181, 124, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 312435, 41, 115, 654, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 312573, 42, 128, 44, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 315196, 42, 24, 514, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 315614, 42, 227, 714, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 316315, 42, 91, 355, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 316598, 43, 96, 680, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 321143, 43, 157, 438, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 321287, 44, 303, 21, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 322440, 44, 5, 389, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 322876, 45, 17, 310, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 324191, 46, 71, 553, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 326103, 47, 273, 200, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 330248, 47, 62, 508, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 333527, 47, 103, 413, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 334428, 47, 8, 592, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 337449, 48, 285, 361, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 338210, 48, 178, 259, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 340506, 49, 225, 549, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 341123, 49, 248, 466, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 342519, 49, 149, 480, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 342676, 49, 194, 127, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 342834, 50, 158, 144, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 344257, 50, 271, 275, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 346325, 50, 65, 550, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 347606, 50, 24, 34, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 352115, 50, 152, 63, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 354384, 51, 253, 640, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 356015, 51, 178, 186, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 356508, 52, 228, 575, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 358489, 52, 268, 116, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 363470, 52, 192, 251, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 369149, 52, 78, 676, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 369486, 52, 64, 615, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 369656, 53, 60, 347, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 371357, 54, 61, 425, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 376659, 54, 286, 254, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 377176, 54, 293, 644, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 379599, 54, 154, 24, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 380122, 54, 208, 203, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 383448, 55, 21, 692, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 385209, 55, 266, 336, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 387865, 55, 206, 441, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 389824, 55, 149, 101, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 395195, 55, 292, 590, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 406896, 56, 87, 159, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 407983, 56, 104, 78, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 414718, 57, 138, 504, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 418562, 57, 33, 352, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 419483, 57, 2, 299, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 422629, 58, 51, 19, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 424490, 58, 282, 367, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 427109, 58, 170, 354, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 427862, 58, 65, 439, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 429942, 59, 200, 627, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 435453, 59, 176, 553, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 439656, 59, 208, 140, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 441385, 60, 134, 186, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 442737, 60, 198, 664, 8 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 443902, 61, 191, 139, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 447413, 62, 145, 33, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 457214, 62, 110, 93, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 457412, 62, 229, 630, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 459195, 62, 60, 607, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 462977, 62, 233, 63, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 463378, 63, 284, 175, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 463580, 63, 64, 686, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 463783, 63, 94, 486, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 464190, 63, 153, 714, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 464395, 64, 257, 399, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 469726, 64, 54, 525, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 470139, 65, 76, 97, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 473038, 66, 312, 122, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 475743, 67, 10, 305, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 478461, 67, 110, 463, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 480562, 68, 258, 223, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 482040, 68, 65, 172, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 482889, 68, 69, 262, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 491623, 68, 61, 590, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 492694, 68, 175, 376, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 497210, 69, 15, 593, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 497643, 69, 307, 635, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 500248, 70, 223, 498, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 500685, 70, 17, 542, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 506161, 71, 30, 658, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 509902, 72, 171, 358, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 510787, 72, 88, 125, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 511676, 72, 304, 280, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 514799, 72, 266, 258, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 519280, 72, 138, 316, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 519731, 73, 149, 509, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 521540, 73, 213, 254, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 529486, 73, 289, 648, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 530399, 74, 247, 505, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 531316, 75, 183, 320, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 532927, 75, 192, 37, 1 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 534545, 75, 201, 277, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 536866, 76, 310, 108, 9 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 541294, 76, 125, 90, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 542933, 76, 150, 528, 3 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 545284, 77, 257, 250, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 548117, 77, 41, 100, 10 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 551673, 77, 61, 399, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 555482, 77, 223, 49, 7 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 556200, 77, 258, 202, 2 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 557401, 78, 15, 4, 6 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 559812, 78, 98, 225, 4 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 560297, 79, 188, 533, 5 );
INSERT INTO Offerings (offering_id, course_id, teacher_id, room_id, period) VALUES ( 562971, 79, 221, 248, 7 );
